id_solucion;categoria;problema;solucion;prioridad_sugerida
1;Internet;Sin conexión a internet;Verifique que el cable de red o la conexión Wi-Fi estén activos. Reinicie el equipo y compruebe si otros usuarios tienen conexión.;Media
2;Internet;Conexión lenta;Cierre aplicaciones que consuman ancho de banda, reinicie la conexión Wi-Fi y pruebe acceder desde otro navegador.;Baja
3;Internet;No accede a la VPN;Confirme que tiene conexión a internet, abra nuevamente el cliente VPN e ingrese sus credenciales corporativas.;Alta
4;Correo electrónico;No puede ingresar al correo;Verifique usuario y contraseña. Confirme que la cuenta no esté bloqueada e intente restablecer la contraseña desde el portal interno.;Media
5;Correo electrónico;No recibe correos;Revise la carpeta de spam, confirme que el buzón no esté lleno y actualice la bandeja de entrada.;Baja
6;Correo electrónico;No puede enviar correos;Revise la conexión a internet, verifique los destinatarios y confirme que no haya adjuntos demasiado grandes.;Media
7;Impresoras;La impresora no imprime;Verifique que la impresora esté encendida, tenga papel, tinta o tóner, y aparezca seleccionada como impresora predeterminada.;Baja
8;Impresoras;Documento trabado en cola de impresión;Cancele los documentos pendientes, reinicie la impresora y vuelva a enviar el archivo.;Baja
9;Impresoras;La impresión sale con manchas;Ejecute la limpieza de cabezales desde el panel de impresión y verifique el nivel de tóner o tinta.;Baja
10;Contraseñas;Olvido de contraseña;Use el portal de autoservicio para restablecer la contraseña con su usuario corporativo y segundo factor de autenticación.;Media
11;Contraseñas;Cuenta bloqueada;Espere el tiempo de desbloqueo automático o solicite al área de soporte la validación de identidad para desbloquear la cuenta.;Media
12;Contraseñas;Cambio preventivo de contraseña;Ingrese al portal corporativo, seleccione Seguridad y luego la opción Cambiar contraseña.;Baja
13;Acceso a sistemas;No puede ingresar al sistema interno;Confirme que usa el enlace correcto, cierre sesión, borre caché del navegador e intente nuevamente.;Alta
14;Acceso a sistemas;No tiene permisos suficientes;Solicite a su responsable que apruebe el acceso mediante el formulario interno de permisos.;Media
15;Acceso a sistemas;El sistema muestra error;Actualice la página, pruebe en otro navegador y tome una captura del mensaje de error si el problema continúa.;Media
